PLANILLA DE CARGA - RINDES DE CULTIVOS;;;;;;
Cargá una fila por lote. Para una campaña nueva, agregá las filas debajo. No dejes filas vacías en el medio. La página web calcula sola los promedios y totales.;;;;;;
Campaña;Cultivo;Campo;Lote;Has sembradas;Has cosechadas;Kg seco
24-25;Soja 1°;Sol de Mayo;16;57,3;40,0;54.561
24-25;Soja 1°;Sol de Mayo;23;53,0;49,8;114.393
24-25;Soja 1°;Sol de Mayo;36;35,5;35,0;55.359
24-25;Soja 1°;Maryland;M1;39,7;5,0;6.622
24-25;Soja 1°;Maryland;M2;14,0;3,0;4.596
24-25;Soja 1°;Maryland;M4;20,0;19,5;31.216
24-25;Soja 2°;Sol de Mayo;8;23,4;23,4;71.006
24-25;Soja 2°;Sol de Mayo;21;32,0;32,0;80.118
24-25;Soja 2°;La Lolita AF;LL3;27,7;26,5;75.853
24-25;Soja 2°;La Lolita MRF;LL5;39,5;39,5;119.330
24-25;Soja 2°;La Lolita MRF;LL6;14,8;14,8;51.445
24-25;Soja 2°;La Lolita MRF;LL7;29,5;29,5;92.310
24-25;Soja 2°;La Lolita MRF;LL8;40,1;38,8;107.600
24-25;Soja 2°;La Lolita MRF;LL9;10,4;10,4;32.602
24-25;Soja 2°;Sol de Mayo;5a;27,1;26,2;55.600
24-25;Soja 2°;Sol de Mayo;10;34,3;32,3;77.397
24-25;Soja 2°;Sol de Mayo;22A;53,7;48,1;107.320
24-25;Soja 2°;Sol de Mayo;25-26;52,3;48,4;133.824
24-25;Soja 2°;Maryland;M 2A;20,6;20,6;58.500
24-25;Soja 2°;Maryland;M5;48,4;19,0;27.908
24-25;Soja 2°;Maryland;M11a/13;68,0;63,0;99.852
24-25;Soja 2°;Maryland;M 14;52,1;44,1;64.505
24-25;Soja 2°;La Lolita AF;LL2;37,1;37,1;80.707
24-25;Soja 2°;Sol de Mayo;3;17,7;17,5;59.900
24-25;Soja 2°;Sol de Mayo;12;74,0;74,0;234.129
24-25;Soja 2°;Sol de Mayo;17;35,2;34,7;90.762
